RESTAURANT,LINK,LAT,LON
North Abraxas,https://northabraxas.com/,32.06296129,34.77156631
Santa Katarina,https://www.facebook.com/santakatarina2/,32.06510293,34.77227829
Shila,https://www.shila-rest.co.il/,32.08830594,34.7735754
Cafe Popular,https://www.cafepopular.co.il/,32.08727825,34.77485842
Taizu,https://www.taizu.co.il/,32.06399183,34.77985166
Hotel Montefiore,https://www.hotelmontefiore.co.il/?gclid=Cj0KCQiAybaRBhDtARIsAIEG3kn87CL3F0_wZSLL9bZuV-dbQrDuql85UFVVyzKYfTEanLFwrviNJyoaAsDiEALw_wcB,32.0663814,34.77349574
Social Club,https://www.socialclub.co.il/,32.06526235,34.7744253
Cicchetti,https://www.cicchettitlv.com/,32.06629643,34.77878832
Vitrina,https://www.facebook.com/vitrinush/,32.07662934,34.78166991
Taqueria,https://www.taqueria.co.il/,32.063447,34.77676109
